UTC,UTC -11,UTC -10,UTC -9,UTC -8,UTC -7,UTC -6,UTC -5,UTC -4,UTC -3,UTC -2,UTC -1,UTC 0,UTC 1,UTC 2,UTC 3,UTC 4,UTC 5,UTC 6,UTC 7,UTC 8,UTC 9,UTC 10,UTC 11
Thu Jul 28 00:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM
Thu Jul 28 01:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM
Thu Jul 28 02:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM
Thu Jul 28 03:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 04:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 05:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 06:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 07:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 08:00:00 2022,Wednesday PM,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
Thu Jul 28 09:00:00 2022,Wednesday PM,Wednesday PM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday AM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM,Thursday PM
